,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,36,0,0,0,0,0,0,0,0,0,8,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0,132,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2206,28,57,101,89,1,0,4,0,8,0,0,7,0,17,0,52,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,212,0,0,33,0,2,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,14,8,677,7,0,17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,92,41,565,28,2,2,0,3,0,24,0,1,0,0,0,0,31,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,88,0,48,2062,17,9,2,3,0,45,0,1,8,0,22,0,55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,53,0,0,0,0,0,9,0,0,33,0,1,0,1,0,7,0,0,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,91,8,1,22,11286,2,2,72,0,1,2,1,6,4,12,12,79,0,0,1,2,0,0,0,84,1,19,2,42,0,0,0,1,3,0,0,86,4,3,8,1,481,650,49,0,24,0,3,0,1,0,0,10,14,0,0,3,3,0,0,4,2,5,6,1,1,0,0,0,0,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
7,0,0,2,0,0,14,2,651,0,0,0,0,0,11,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,2,0,10,504,0,0,0,0,3,0,0,0,1,59,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,1,104,5,36,0,11,2,2,2,0,3,0,3,2,20,0,0,2,7,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,6,0,0,3,59,0,0,600,0,1,0,0,4,2,0,5,25,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,10,3,0,1,1,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
